N°        Compile         Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
1          MPISG           2     16         1          25         1          0.000016236305  0.000016236305  1.00       100.00    %
2          MPISG           2     16         1          25         2          0.000047159195  0.000016236305  0.34       17.21     %
3          MPISG           2     16         1          25         4          0.000084471703  0.000016236305  0.19       4.81      %
4          MPISG           2     16         1          25         8          0.000088214874  0.000016236305  0.18       2.30      %
5          MPISG           2     16         1          25         16         0.000202560425  0.000016236305  0.08       0.50      %
6          MPISG           2     16         1          25         32         0.000193738937  0.000016236305  0.08       0.26      %
7          MPISG           2     16         1          25         64         0.000204277039  0.000016236305  0.08       0.12      %
8          MPISG           2     32         1          25         1          0.000019001961  0.000019001961  1.00       100.00    %
9          MPISG           2     32         1          25         2          0.000065183640  0.000019001961  0.29       14.58     %
10         MPISG           2     32         1          25         4          0.000136733055  0.000019001961  0.14       3.47      %
11         MPISG           2     32         1          25         8          0.000178861618  0.000019001961  0.11       1.33      %
12         MPISG           2     32         1          25         16         0.000394129753  0.000019001961  0.05       0.30      %
13         MPISG           2     32         1          25         32         0.000554823875  0.000019001961  0.03       0.11      %
14         MPISG           2     32         1          25         64         0.000595068932  0.000019001961  0.03       0.05      %
15         MPISG           2     64         1          25         1          0.000067234039  0.000067234039  1.00       100.00    %
16         MPISG           2     64         1          25         2          0.000081634521  0.000067234039  0.82       41.18     %
17         MPISG           2     64         1          25         4          0.000184559822  0.000067234039  0.36       9.11      %
18         MPISG           2     64         1          25         8          0.000345659256  0.000067234039  0.19       2.43      %
19         MPISG           2     64         1          25         16         0.000924062729  0.000067234039  0.07       0.45      %
20         MPISG           2     64         1          25         32         0.001082253456  0.000067234039  0.06       0.19      %
21         MPISG           2     64         1          25         64         0.002310442924  0.000067234039  0.03       0.05      %
22         MPISG           2     128        1          25         1          0.000134682655  0.000134682655  1.00       100.00    %
23         MPISG           2     128        1          25         2          0.000167083740  0.000134682655  0.81       40.30     %
24         MPISG           2     128        1          25         4          0.000419187546  0.000134682655  0.32       8.03      %
25         MPISG           2     128        1          25         8          0.000869941711  0.000134682655  0.15       1.94      %
26         MPISG           2     128        1          25         16         0.002332925797  0.000134682655  0.06       0.36      %
27         MPISG           2     128        1          25         32         0.002208781242  0.000134682655  0.06       0.19      %
28         MPISG           2     128        1          25         64         0.004339814186  0.000134682655  0.03       0.05      %
29         MPISG           2     256        1          25         1          0.000483655930  0.000483655930  1.00       100.00    %
30         MPISG           2     256        1          25         2          0.000570940971  0.000483655930  0.85       42.36     %
31         MPISG           2     256        1          25         4          0.000949978828  0.000483655930  0.51       12.73     %
32         MPISG           2     256        1          25         8          0.002423429489  0.000483655930  0.20       2.49      %
33         MPISG           2     256        1          25         16         0.006789612770  0.000483655930  0.07       0.45      %
34         MPISG           2     256        1          25         32         0.004420423508  0.000483655930  0.11       0.34      %
35         MPISG           2     256        1          25         64         0.009001708031  0.000483655930  0.05       0.08      %
36         MPISG           2     512        1          25         1          0.002419853210  0.002419853210  1.00       100.00    %
37         MPISG           2     512        1          25         2          0.002040195465  0.002419853210  1.19       59.30     %
38         MPISG           2     512        1          25         4          0.002602624893  0.002419853210  0.93       23.24     %
39         MPISG           2     512        1          25         8          0.005484533310  0.002419853210  0.44       5.52      %
40         MPISG           2     512        1          25         16         0.018794870377  0.002419853210  0.13       0.80      %
41         MPISG           2     512        1          25         32         0.009233260155  0.002419853210  0.26       0.82      %
42         MPISG           2     512        1          25         64         0.018157553673  0.002419853210  0.13       0.21      %
43         MPISG           2     1024       1          25         1          0.011013889313  0.011013889313  1.00       100.00    %
44         MPISG           2     1024       1          25         2          0.008371710777  0.011013889313  1.32       65.78     %
45         MPISG           2     1024       1          25         4          0.007516145706  0.011013889313  1.47       36.63     %
46         MPISG           2     1024       1          25         8          0.013578581810  0.011013889313  0.81       10.14     %
47         MPISG           2     1024       1          25         16         0.037546300888  0.011013889313  0.29       1.83      %
