N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
67         MPIBLOCK   3     64         1          25         64         0.000793886185  0.000032758713  0.04       0.06      %
68         MPIBLOCK   3     128        1          25         4          0.006612539291  0.000100994110  0.02       0.38      %
69         MPIBLOCK   3     128        1          25         16         0.002589416504  0.000100994110  0.04       0.24      %
70         MPIBLOCK   3     128        1          25         64         0.001870489120  0.000100994110  0.05       0.08      %
71         MPIBLOCK   3     256        1          25         4          0.024117779732  0.000520920753  0.02       0.54      %
72         MPIBLOCK   3     256        1          25         16         0.009240531921  0.000520920753  0.06       0.35      %
73         MPIBLOCK   3     256        1          25         64         0.004766440392  0.000520920753  0.11       0.17      %
74         MPIBLOCK   3     512        1          25         4          0.095247507095  0.003733563423  0.04       0.98      %
75         MPIBLOCK   3     512        1          25         16         0.031682848930  0.003733563423  0.12       0.74      %
76         MPIBLOCK   3     512        1          25         64         0.013748526573  0.003733563423  0.27       0.42      %
77         MPIBLOCK   3     1024       1          25         4          0.380232596397  0.021773958206  0.06       1.43      %
78         MPIBLOCK   3     1024       1          25         16         0.129598212242  0.021773958206  0.17       1.05      %
79         MPIBLOCK   3     1024       1          25         64         0.047259950638  0.021773958206  0.46       0.72      %
80         MPIBLOCK   3     2048       1          25         4          1.451126289368  0.093235492706  0.06       1.61      %
81         MPIBLOCK   3     2048       1          25         16         0.482553911209  0.093235492706  0.19       1.21      %
82         MPIBLOCK   3     2048       1          25         64         0.162070703506  0.093235492706  0.58       0.90      %
83         MPIBLOCK   3     4096       1          25         4          6.410969519615  0.934600400925  0.15       3.64      %
84         MPIBLOCK   3     4096       1          25         16         1.997404599190  0.934600400925  0.47       2.92      %
85         MPIBLOCK   3     4096       1          25         64         0.619072937965  0.934600400925  1.51       2.36      %
